,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,4,59,59,2658807,2749763,6400592,11,1002,0,0,5
1,5,61,100,1704593,1705507,6426159,0,1008,6,20,6
2,6,65,165,1252972,1320480,6311296,0,1010,0,0,5
3,7,44,209,5297141,5334164,6322225,7,1013,2,0,6
4,8,43,252,1689201,1736633,6252194,8,1013,1,0,6
5,9,29,281,5766250,5813452,6277750,1,1015,1,0,8
6,10,46,327,3797937,3938809,6257303,1,1014,0,0,7
7,11,60,387,2434715,2496433,6137059,1,1015,0,0,9
8,12,55,442,2117607,2185024,5996226,1,1014,0,0,1
9,13,54,496,2596594,2672316,5869608,1,1013,0,0,0
10,14,75,571,231800,256598,5562868,1,1010,0,0,0
11,15,52,623,2922011,3019963,5414649,1,1010,0,0,9
12,16,61,684,2446185,2543994,5243321,1,1013,0,0,2
13,17,57,741,3335081,3421244,5168943,1,1013,0,0,0
14,18,22,763,6567825,6654569,5328141,1,1011,0,0,0
15,19,54,817,2420971,2520054,5226030,1,1008,0,0,0
16,20,47,864,5045410,5179780,5264110,1,1006,0,0,0
17,21,47,911,3763968,3907385,5219872,1,1005,0,0,1
18,22,41,952,6573417,6644834,5396831,1,1006,0,0,0
19,23,57,1009,1259078,1329318,5232411,1,1003,0,0,1
20,24,73,1082,861508,902025,4926179,1,1004,0,0,0
21,25,58,1140,1898580,1971263,4731916,1,1003,0,0,9
22,26,58,1198,3300076,3432886,4678812,1,1008,0,0,2
23,27,77,1275,42780,48172,4170126,1,1008,0,0,0
24,28,32,1307,1945501,2052466,4037024,1,1008,0,0,0
25,29,41,1348,5573909,5685255,4176503,1,1008,0,0,0
26,30,0,1348,1,5540231,4172562,1,1009,0,0,0
27,31,0,1348,1,6338744,4172421,1,1009,0,0,0
28,32,0,1348,1,6344433,4172329,1,1008,0,0,0
29,33,0,1348,1,6406720,4172292,1,1009,0,0,0
30,34,0,1348,1,6408444,4172251,1,1009,0,0,0
31,35,0,1348,1,6418374,4172209,1,1009,0,0,0
32,36,0,1348,1,6420452,4172183,1,1009,0,0,0
33,37,0,1348,1,6423602,4172145,1,1009,0,0,0
34,38,0,1348,1,6421627,4172104,1,1009,0,0,0
35,39,64,1412,3916949,3916984,4143417,0,1000,24,0,1
36,40,53,1461,5570809,5576534,4290945,46,1001,2,4,3
37,41,77,1538,571746,580068,3902715,9,1003,1,0,9
38,42,63,1593,1671131,1676449,3802561,8,1005,3,8,4
39,43,81,1666,931621,935217,3603083,14,1006,3,8,0
