,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,4,52,52,4039128,4134728,6443851,4,1003,0,0,0
1,5,40,84,5693223,5698194,6479900,4,1005,3,8,11
2,6,76,160,341690,370106,6341386,4,1008,0,0,0
3,7,49,209,4018247,4065481,6321758,2,1010,2,0,6
4,8,32,237,4616882,4651260,6342660,7,1014,2,4,9
5,9,29,266,5629942,5753028,6363304,7,1015,0,0,11
6,10,46,312,3797937,3938806,6343590,7,1015,0,0,1
7,11,33,345,6194726,6267784,6394136,7,1012,0,0,7
8,12,41,386,4568921,4698331,6380367,7,1009,0,0,2
9,13,61,447,1459778,1507882,6264162,7,1006,0,0,10
10,14,55,502,2542577,2645600,6217575,0,1007,0,0,1
11,15,73,575,324742,354275,5966086,0,1010,0,0,20
12,16,72,647,803376,854900,5729365,0,1019,0,0,2
13,17,65,712,1946850,2034446,5571731,0,1022,0,0,7
14,18,64,776,107519,116915,5137749,0,1026,0,0,3
15,19,28,804,6876069,6920131,5399352,0,1026,0,0,2
16,20,56,860,3123112,3262792,5315946,0,1026,0,0,0
17,21,61,905,1182446,1182616,5298674,5,1024,6,16,1
18,22,55,960,3981357,4117240,5299861,5,1025,0,0,4
19,23,30,990,6337042,6417100,5459231,5,1031,0,0,13
20,24,33,1023,6761031,6821082,5626087,5,1031,0,0,11
21,25,27,1050,6904365,6964010,5775509,5,1028,0,0,0
22,26,64,1114,2030733,2140819,5665570,5,1025,0,0,2
23,27,51,1165,2197616,2313892,5583695,5,1022,0,0,1
24,28,18,1183,5458664,5637033,5617556,5,1023,0,0,0
25,29,78,1261,195072,216634,5294951,5,1021,0,0,0
26,30,0,1261,1,5540126,5292345,5,1018,0,0,0
27,31,0,1261,1,6338636,5292233,5,1018,0,0,0
28,32,0,1261,1,6344325,5292117,5,1018,0,0,0
29,33,0,1261,1,6406612,5292063,5,1018,0,0,0
30,34,0,1261,1,6408336,5292020,5,1018,0,0,0
31,35,0,1261,1,6418265,5291974,5,1018,0,0,0
32,36,0,1261,1,6420343,5291938,5,1018,0,0,0
33,37,0,1261,1,6423493,5291894,5,1018,0,0,0
34,38,0,1261,1,6421518,5291860,5,1018,0,0,0
35,39,55,1316,5390016,5390834,5324865,0,1009,7,0,2
36,40,66,1382,3121354,3137794,5218747,14,1004,1,0,8
37,41,55,1437,3029424,3042841,5143398,28,1005,1,0,2
38,42,61,1494,1920058,1937715,4997473,13,1006,2,4,17
39,43,60,1550,3720656,3731029,4962885,5,1010,2,4,19
