,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,4,50,50,4436403,4527182,6454416,1,1006,0,0,5
1,5,57,87,2436760,2437898,6472195,0,1008,6,20,13
2,6,70,157,740445,790094,6358822,0,1012,0,0,14
3,7,41,198,5886107,5912336,6380045,2,1014,2,0,4
4,8,37,235,3155534,3219380,6353417,14,1015,1,0,2
5,9,30,265,5512981,5566447,6368611,0,1018,1,0,0
6,10,32,297,6306372,6381340,6417247,0,1017,0,0,-1
7,11,62,359,2168614,2226243,6321859,0,1014,0,0,0
8,12,44,403,4008613,4133260,6287754,0,1008,0,0,0
9,13,68,471,615544,640667,6096538,0,1002,0,0,0
10,14,34,505,6464448,6519114,6198339,0,999,0,0,1
11,15,42,547,4689120,4799265,6186997,0,999,0,0,0
12,16,48,595,4738561,4835162,6179794,0,999,0,0,0
13,17,67,662,1623629,1701724,6066658,0,1002,0,0,7
14,18,35,697,4284520,4417354,6035460,0,1007,0,0,1
15,19,53,750,2590690,2692650,5967663,0,1005,0,0,0
16,20,42,792,5922787,6029545,6015330,0,1003,0,0,0
17,21,39,831,5471548,5594543,6032120,0,1004,0,0,-1
18,22,53,884,4467824,4601470,6039254,0,1005,0,0,0
19,23,46,930,3247045,3281793,6009186,9,1002,1,0,1
20,24,60,990,2224624,2310547,5917706,9,1001,0,0,1
21,25,41,1031,4574436,4691597,5930592,9,1001,0,0,0
22,26,59,1090,3077898,3208975,5869528,9,1002,0,0,0
23,27,64,1154,439290,476176,5683546,5,997,0,0,1
24,28,36,1190,1254479,1327359,5552178,5,999,0,0,0
25,29,58,1248,2251518,2346451,5427421,5,1001,0,0,2
26,30,0,1248,1,5540277,5424923,5,1001,0,0,0
27,31,0,1248,1,6338795,5424802,5,1001,0,0,0
28,32,0,1248,1,6344485,5424691,5,1004,0,0,0
29,33,0,1248,1,6406772,5424630,5,1006,0,0,0
30,34,0,1248,1,6408496,5424589,5,1006,0,0,0
31,35,0,1248,1,6418426,5424537,5,1006,0,0,0
32,36,0,1248,1,6420504,5424497,5,1006,0,0,0
33,37,0,1248,1,6423654,5424456,5,1006,0,0,0
34,38,0,1248,1,6421678,5424417,5,1006,0,0,0
35,39,66,1314,3590962,3590986,5346162,4,990,26,0,2
36,40,74,1388,1721104,1737770,5158153,5,992,1,0,3
37,41,56,1444,2874813,2888568,5070859,1,994,1,0,7
38,42,75,1515,531615,542940,4770779,4,994,2,4,3
39,43,69,1584,2369345,2388092,4600091,8,995,1,0,0
